date,title,artist,weeks,current,peak,previous,,
2017/8/19,Nigemizu,Nogizaka46,4,10,10,61,,
2017/8/12,Himawari,Mr. Children,2,1,1,59,,
2017/8/12,My Buddy,Bullet Train,1,2,0,0,,
2017/8/12,Love Queen,E-Girls,3,3,3,0,,
2017/8/12,The Idolm@Ster Million The@Ter Generation 01 Brand,765 Million Allstars,1,4,0,0,,
2017/8/12,Wasted Love,Hiroomi Tosaka,1,5,0,0,,
2017/8/12,Shuukatsu Sensation,Camellia Factory,1,6,0,0,,
2017/8/12,Rain,SEKAI NO OWARI,7,7,2,4,,
2017/8/12,Forevermore,Hikaru Utada,1,8,0,0,,
2017/8/12,TT,TWICE,40,9,3,6,,
2017/8/12,Niji,Yu Takahashi,2,10,10,0,,
2017/8/5,Igai Ni Mango,SKE48,6,1,1,57,,
2017/8/5,Testament,Nana Mizuki,1,2,0,0,,
2017/8/5,Destiny's Prelude,Nana Mizuki,1,3,0,0,,
2017/8/5,Rain,SEKAI NO OWARI,6,4,2,4,,
2017/8/5,Dirty Disco,THE RAMPAGE from EXILE TRIBE,1,5,0,0,,
2017/8/5,TT,TWICE,39,6,3,5,,
2017/8/5,Taiyou 4 Gou,10-FEET,2,7,7,35,,
2017/8/5,Suna No Wakusei,Hachi Featuring Miku Hatsune,1,8,0,0,,
2017/8/5,Hanabi,Mr. Children,7,9,9,23,,
2017/8/5,Decided,UVERworld,4,10,2,2,,
2017/7/29,The Red Light,KinKi Kids,2,1,1,32,,
2017/7/29,Decided,UVERworld,3,2,2,89,,
2017/7/29,Oozora De Dakishimete,Hikaru Utada,1,3,0,0,,
2017/7/29,Rain,SEKAI NO OWARI,5,4,2,2,,
2017/7/29,TT,TWICE,38,5,3,4,,
2017/7/29,Peace Sign,Kenshi Yonezu,9,6,1,9,,
2017/7/29,Kinen Satsuei,BUMP OF CHICKEN,2,7,3,3,,
2017/7/29,Sora,GENERATIONS from EXILE TRIBE,7,8,8,8,,
2017/7/29,Aoi Namida,Kaho Mizutani,2,9,9,75,,
2017/7/29,Precious Girl,Hey! Say! JUMP,3,10,1,1,,
2017/7/22,Precious Girl,Hey! Say! JUMP,2,1,1,0,,
2017/7/22,Rain,SEKAI NO OWARI,4,2,2,5,,
2017/7/22,Kinen Satsuei,BUMP OF CHICKEN,1,3,0,0,,
2017/7/22,TT,TWICE,37,4,3,3,,
2017/7/22,No Way Back,AAA,4,5,5,12,,
2017/7/22,Tsunagu,Arashi,5,6,1,1,,
2017/7/22,Wiper,Suchmos,2,7,7,58,,
2017/7/22,Sora,GENERATIONS from EXILE TRIBE,6,8,8,24,,
2017/7/22,Peace Sign,Kenshi Yonezu,8,9,1,4,,
2017/7/22,Koi No Roadshow,Fairies,1,10,0,0,,
2017/7/15,Tsunagu,Arashi,4,1,1,18,,
2017/7/15,Summer Lover,EXILE THE SECOND,1,2,0,0,,
2017/7/15,TT,TWICE,36,3,3,5,,
2017/7/15,Peace Sign,Kenshi Yonezu,7,4,1,1,,
2017/7/15,Rain,SEKAI NO OWARI,3,5,5,9,,
2017/7/15,Wacha-Gacha!,Super Dragon,1,6,0,0,,
2017/7/15,Doudemo Iiya,Manekikecha,1,7,0,0,,
2017/7/15,Ai Koso,Yuzu,3,8,8,0,,
2017/7/15,Landing action Yeah!!,Aqours,1,9,0,0,,
2017/7/15,Non Fiction,Ken Hirai,7,10,5,10,,
2017/7/8,Peace Sign,Kenshi Yonezu,6,1,1,23,,
2017/7/8,Osaka Ai.Eye.Ai,Johnny's WEST,1,2,0,0,,
2017/7/8,Aisaeareba Nannimoiranai,Angerme,1,3,0,0,,
2017/7/8,Kowareyasuki,Guilty Kiss,1,4,0,0,,
2017/7/8,TT,TWICE,35,5,5,42,,
2017/7/8,Canaria,Yuzu,1,6,0,0,,
2017/7/8,CQCQ,Kamisama Bokuwa Kizuite Shimatta,10,7,5,8,,
2017/7/8,Destiny,Che'Nelle,9,8,4,5,,
2017/7/8,Rain,SEKAI NO OWARI,2,9,9,0,,
2017/7/8,Non Fiction,Ken Hirai,6,10,5,7,,
2017/7/1,Seimei,B'z,1,1,0,0,,
2017/7/1,Tonikaku HEY,Da-iCE,1,2,0,0,,
2017/7/1,Negaigoto No Mochigusare,AKB48,5,3,1,2,,
2017/7/1,Signal,TWICE,5,4,4,11,,
2017/7/1,Destiny,Che'Nelle,8,5,4,6,,
2017/7/1,Just You And I,Namie Amuro,4,6,2,4,,
2017/7/1,Non Fiction,Ken Hirai,5,7,5,5,,
2017/7/1,CQCQ,Kamisama Bokuwa Kizuite Shimatta,9,8,5,7,,
2017/7/1,Sharara! Yareru Hazusa,Magnolia Factory,1,9,0,0,,
2017/7/1,Koi,Gen Hoshino,40,10,1,8,,
2017/6/24,Pick It Up,Kis-My-Ft2,1,1,0,0,,
2017/6/24,Negaigoto No Mochigusare,AKB48,4,2,1,1,,
2017/6/24,Mita Koto Mo Nai Keshiki,Masaki Suda,9,3,3,25,,
2017/6/24,Just You And I,Namie Amuro,3,4,2,2,,
2017/6/24,Non Fiction,Ken Hirai,4,5,5,10,,
2017/6/24,Destiny,Che'Nelle,7,6,4,7,,
2017/6/24,CQCQ,Kamisama Bokuwa Kizuite Shimatta,8,7,5,5,,
2017/6/24,Koi,Gen Hoshino,39,8,1,14,,
2017/6/24,I Need Your Love,Beverly,8,9,6,6,,
2017/6/24,I`M Fish//,DISH//,1,10,0,0,,
2017/6/17,Negaigoto No Mochigusare,AKB48,3,1,1,0,,
2017/6/17,Just You And I,Namie Amuro,2,2,2,85,,
2017/6/17,Dakara.Hitori Janai,Little Glee Monster,1,3,0,0,,
2017/6/17,AnKira!? Kyousoukyoku,"Anzu Futaba (Hiromi Igarashi),Kirari Moroboshi (Rei Matsuzaki)",1,4,0,0,,
2017/6/17,CQCQ,Kamisama Bokuwa Kizuite Shimatta,7,5,5,22,,
2017/6/17,I Need Your Love,Beverly,7,6,6,10,,
2017/6/17,Destiny,Che'Nelle,6,7,4,6,,
2017/6/17,GALAXY HidE and SeeK,AZALEA,1,8,0,0,,
2017/6/17,Signal,TWICE,3,9,5,8,,
2017/6/17,Non Fiction,Ken Hirai,3,10,10,17,,
2017/6/10,My Swagger,GOT7,1,1,0,0,,
2017/6/10,Kokoro,Kobukuro,3,2,2,65,,
2017/6/10,Adrenaline!!!,TrySail,1,3,0,0,,
2017/6/10,Senaka Goshi No Chance,Kame To Yama P,4,4,1,1,,
2017/6/10,Etude Ha Ikkyoku Dake,"Rin Shibuya (Ayaka Fukuhara),Haruna Kamijo (Mina Nagashima),...",1,5,0,0,,
2017/6/10,Destiny,Che'Nelle,5,6,4,6,,
2017/6/10,Charm,WANIMA,5,7,2,2,,
2017/6/10,Signal,TWICE,2,8,5,5,,
2017/6/10,Pa,Kana Nishino,5,9,3,7,,
2017/6/10,I Need Your Love,Beverly,6,10,10,15,,
2017/6/3,Senaka Goshi No Chance,Kame To Yama P,3,1,1,41,,
2017/6/3,Charm,WANIMA,4,2,2,36,,
2017/6/3,Hero,MONSTA X,1,3,0,0,,
2017/6/3,Chi.Ase.Namida,BTS,5,4,1,1,,
2017/6/3,Signal,TWICE,1,5,0,0,,
2017/6/3,Destiny,Che'Nelle,4,6,4,4,,
2017/6/3,Pa,Kana Nishino,4,7,3,5,,
2017/6/3,Koi,Gen Hoshino,36,8,1,9,,
2017/6/3,Saihate Aini,RADWIMPS,4,9,2,2,,
2017/6/3,Togetsukyou  (Kimi Omofu),Mai Kuraki,6,10,2,6,,
2017/5/27,Chi.Ase.Namida,BTS,4,1,1,28,,
2017/5/27,Saihate Aini,RADWIMPS,3,2,2,20,,
2017/5/27,Ternero Fighter,M!LK,1,3,0,0,,
2017/5/27,Destiny,Che'Nelle,3,4,4,13,,
2017/5/27,Pa,Kana Nishino,3,5,3,3,,
2017/5/27,Togetsukyou  (Kimi Omofu),Mai Kuraki,5,6,2,8,,
2017/5/27,Do Party,DOBERMAN INFINITY,1,7,0,0,,
2017/5/27,Kinmirai Happy End,Cyaron!,1,8,0,0,,
2017/5/27,Koi,Gen Hoshino,35,9,1,7,,
2017/5/27,Shake,CNBLUE,1,10,0,0,,
2017/5/20,Colors,V6,1,1,0,0,,
2017/5/20,Ribbon,BUMP OF CHICKEN,2,2,2,0,,
2017/5/20,Pa,Kana Nishino,2,3,3,16,,
2017/5/20,Movie,BTOB,1,4,0,0,,
2017/5/20,Update,Mag!C Prince,1,5,0,0,,
2017/5/20,Dirty Work,Austin Mahone,13,6,4,4,,
2017/5/20,Koi,Gen Hoshino,34,7,1,12,,
2017/5/20,Togetsukyou  (Kimi Omofu),Mai Kuraki,4,8,2,9,,
2017/5/20,Fukyouwaon,Keyakizaka46,8,9,1,6,,
2017/5/20,Beauty And The Beast,Ariana Grande & John Legend,11,10,10,10,,
2017/5/13,Chou Nebagiba DANCE,Bullet Train,2,1,1,0,,
2017/5/13,I`ll Be There,Arashi,3,2,1,1,,
2017/5/13,Jidanda Dance,Juice=Juice,1,3,0,0,,
2017/5/13,Dirty Work,Austin Mahone,12,4,4,7,,
2017/5/13,Kira! Mankai Smile,(Animation),1,5,0,0,,
2017/5/13,Fukyouwaon,Keyakizaka46,7,6,1,3,,
2017/5/13,Moon Jellyfish,Flower,2,7,7,0,,
2017/5/13,Play That,PKCZ(R) Feat. Hiroomi tosaka Crystal Kay CRAZYBOY,1,8,0,0,,
2017/5/13,Togetsukyou  (Kimi Omofu),Mai Kuraki,3,9,2,2,,
2017/5/13,Beauty And The Beast,Ariana Grande & John Legend,10,10,10,10,,
2017/5/6,I`ll Be There,Arashi,2,1,1,61,,
2017/5/6,Togetsukyou  (Kimi Omofu),Mai Kuraki,2,2,2,9,,
2017/5/6,Fukyouwaon,Keyakizaka46,6,3,1,2,,
2017/5/6,Frontiers,THE RAMPAGE from EXILE TRIBE,1,4,0,0,,
2017/5/6,Jet to the Future,"Riina Tada (Ruriko Aoki), Natsuki Kimura (Kiyono Yasuno)",1,5,0,0,,
2017/5/6,Koi,Gen Hoshino,32,6,1,5,,
2017/5/6,Dirty Work,Austin Mahone,11,7,5,7,,
2017/5/6,The Main Street,Ringo Sheena & Tortoise Matsumoto,1,8,0,0,,
2017/5/6,Influencer,Nogizaka46,8,9,1,8,,
2017/5/6,Beauty And The Beast,Ariana Grande & John Legend,9,10,10,21,,
2017/4/29,Seishun Dokei,NGT48,2,1,1,0,,
2017/4/29,Fukyouwaon,Keyakizaka46,5,2,1,1,,
2017/4/29,Taiyou Mo Tsuki Mo,GENERATIONS from EXILE TRIBE,4,3,3,43,,
2017/4/29,Anti Clock Wise,After The Rain,1,4,0,0,,
2017/4/29,Koi,Gen Hoshino,31,5,1,4,,
2017/4/29,Kaidoku Funou,After The Rain,1,6,0,0,,
2017/4/29,Dirty Work,Austin Mahone,10,7,5,9,,
2017/4/29,Influencer,Nogizaka46,7,8,1,3,,
2017/4/29,Togetsukyou  (Kimi Omofu),Mai Kuraki,1,9,0,0,,
2017/4/29,Road Movie,Yu Takahashi,2,10,10,92,,
2017/4/22,Fukyouwaon,Keyakizaka46,4,1,1,13,,
2017/4/22,Happy Party Train,Aqours,1,2,0,0,,
2017/4/22,Influencer,Nogizaka46,6,3,1,3,,
2017/4/22,Koi,Gen Hoshino,30,4,1,4,,
2017/4/22,Deai Aishite,MYNAME,1,5,0,0,,
2017/4/22,Youkoso Japari Park He,Doubutsu Biscuits * PPP,9,6,6,18,,
2017/4/22,Shape Of You,Ed Sheeran,13,7,7,12,,
2017/4/22,Yattemiyou,WANIMA,7,8,8,8,,
2017/4/22,Dirty Work,Austin Mahone,9,9,5,6,,
2017/4/22,Bagutte Iijan,HKT48,3,10,1,0,,
2017/4/15,Rock Tha Town,Sexy Zone,1,1,0,0,,
2017/4/15,To Tomorrow,C-ute,1,2,0,0,,
2017/4/15,Influencer,Nogizaka46,5,3,1,1,,
2017/4/15,Koi,Gen Hoshino,29,4,1,3,,
2017/4/15,Mita Koto Mo Nai Keshiki,Masaki Suda,2,5,4,4,,
2017/4/15,Dirty Work,Austin Mahone,8,6,5,17,,
2017/4/15,Happy?,Sandaime J Soul Brothers from EXILE TRIBE,7,7,1,8,,
2017/4/15,Yattemiyou,WANIMA,6,8,8,13,,
2017/4/15,Tokyo Girl,Perfume,11,9,2,10,,
2017/4/15,Hayaku Aitai,Dream Ami,2,10,7,7,,
2017/4/8,Influencer,Nogizaka46,4,1,1,5,,
2017/4/8,Oh Yeah!!,SNUPER,1,2,0,0,,
2017/4/8,Koi,Gen Hoshino,28,3,1,3,,
2017/4/8,Mita Koto Mo Nai Keshiki,Masaki Suda,1,4,0,0,,
2017/4/8,Otona No Okite,Doughnuts Hole,7,5,4,16,,
2017/4/8,Kono Yami Wo Terasu Hikari No Mukou Ni,Anly + Sukimaswitch=,4,6,6,8,,
2017/4/8,Hayaku Aitai,Dream Ami,1,7,0,0,,
2017/4/8,Happy?,Sandaime J Soul Brothers from EXILE TRIBE,6,8,1,4,,
2017/4/8,Promise The Star,BiSH,2,9,9,79,,
2017/4/8,Tokyo Girl,Perfume,10,10,2,6,,
2017/4/1,Shoot Sign,AKB48,2,1,1,0,,
2017/4/1,Can`t Get Enough,V6,1,2,0,0,,
2017/4/1,Koi,Gen Hoshino,27,3,1,4,,
2017/4/1,Happy?,Sandaime J Soul Brothers from EXILE TRIBE,5,4,1,1,,
2017/4/1,Influencer,Nogizaka46,3,5,5,26,,
2017/4/1,Tokyo Girl,Perfume,9,6,2,5,,
2017/4/1,Motion,Mariya Nishiuchi,1,7,0,0,,
2017/4/1,Kono Yami Wo Terasu Hikari No Mukou Ni,Anly + Sukimaswitch=,3,8,6,12,,
2017/4/1,Dirty Work,Austin Mahone,6,9,5,8,,
2017/4/1,Shape Of You,Ed Sheeran,10,10,10,10,,
2017/3/25,Happy?,Sandaime J Soul Brothers from EXILE TRIBE,4,1,1,15,,
2017/3/25,Brand New Morning,Morning Musume.`17,1,2,0,0,,
2017/3/25,ID,UP10TION,1,3,0,0,,
2017/3/25,Koi,Gen Hoshino,26,4,1,2,,
2017/3/25,Tokyo Girl,Perfume,8,5,2,4,,
2017/3/25,Hirari,Sakurako Ohara,1,6,0,0,,
2017/3/25,Sangatsu Kokonoka,Remioromen,22,7,5,40,,
2017/3/25,Dirty Work,Austin Mahone,5,8,5,5,,
2017/3/25,Otoko No Zesshou,Kiyoshi Hikawa,1,9,0,0,,
2017/3/25,Shape Of You,Ed Sheeran,9,10,10,19,,
2017/3/18,Tonight,Kis-My-Ft2,1,1,0,0,,
2017/3/18,Koi,Gen Hoshino,25,2,1,2,,
2017/3/18,Love Letter,"Uzuki Shimamura (Ayaka Ohashi),Miho Kohinata (Minami Tsuda),Kyoko Igarashi (Atsumi Tanez",1,3,0,0,,
2017/3/18,Tokyo Girl,Perfume,7,4,2,4,,
2017/3/18,Dirty Work,Austin Mahone,4,5,5,8,,
2017/3/18,Kono Yami Wo Terasu Hikari No Mukou Ni,Anly + Sukimaswitch=,1,6,0,0,,
2017/3/18,Boku No Kokoro Wo Tsukutteyo,Ken Hirai,2,7,7,74,,
2017/3/18,OH BOY,Sudannayuzuyully,1,8,0,0,,
2017/3/18,Catch The Moment,LiSA,4,9,3,3,,
2017/3/18,Parallelline,Sayuri,1,10,0,0,,
2017/3/11,Over The Top,Hey! Say! JUMP,2,1,1,0,,
2017/3/11,Koi,Gen Hoshino,24,2,1,4,,
2017/3/11,Catch The Moment,LiSA,3,3,3,5,,
2017/3/11,Tokyo Girl,Perfume,6,4,2,2,,
2017/3/11,Ryudoutai Ni Tsuite,Kenji Ozawa,1,5,0,0,,
2017/3/11,Hatsukoi Sunrise,Tsubaki Factory,1,6,0,0,,
2017/3/11,Super Fly,EXILE THE SECOND,1,7,0,0,,
2017/3/11,Dirty Work,Austin Mahone,3,8,8,8,,
2017/3/11,Orion,Kenshi Yonezu,4,9,3,3,,
2017/3/11,Ashita Mo,SHISHAMO,4,10,10,13,,
2017/3/4,Bagutte Iijan,HKT48,1,1,0,0,,
2017/3/4,Tokyo Girl,Perfume,5,2,2,6,,
2017/3/4,Orion,Kenshi Yonezu,3,3,3,32,,
2017/3/4,Koi,Gen Hoshino,23,4,1,2,,
2017/3/4,Catch The Moment,LiSA,2,5,5,0,,
2017/3/4,Magic,AAA,6,6,3,3,,
2017/3/4,Otona No Okite,Doughnuts Hole,2,7,4,4,,
2017/3/4,Dirty Work,Austin Mahone,2,8,8,98,,
2017/3/4,Koe,Green Boys,5,9,4,9,,
2017/3/4,Itteki No Eikyou,UVERworld,4,10,2,10,,
2017/2/25,Emma,NEWS,4,1,1,35,,
2017/2/25,Koi,Gen Hoshino,22,2,1,1,,
2017/2/25,Magic,AAA,5,3,3,21,,
2017/2/25,Otona No Okite,Doughnuts Hole,1,4,0,0,,
2017/2/25,Rewind,Happiness,2,5,5,0,,
2017/2/25,Tokyo Girl,Perfume,4,6,6,42,,
2017/2/25,Good Boy Bad Girl,Country Girls,1,7,0,0,,
2017/2/25,Evermore,"Mika Jogasaki (Haruka Yoshimura),Miku Maekawa (Natsumi Takamori),Shiki Ichinose (Kotomi Ai",1,8,0,0,,
2017/2/25,Koe,Green Boys,4,9,4,6,,
2017/2/25,Itteki No Eikyou,UVERworld,3,10,2,2,,
2017/2/18,Koi,Gen Hoshino,21,1,1,3,,
2017/2/18,Itteki No Eikyou,UVERworld,2,2,2,39,,
2017/2/18,Reboot!!!,A.B.C-Z,1,3,0,0,,
2017/2/18,Snow Sound,[Alexandros],7,4,4,32,,
2017/2/18,Beyond The Starlight,"Rika Jogasaki (Nozomi Yamamoto),Chieri Ogata (Naomi Ozora),Karen Houjo (Mai Fuchigami)...",1,5,0,0,,
2017/2/18,Koe,Green Boys,3,6,4,4,,
2017/2/18,Hitorisekai,10-FEET,1,7,0,0,,
2017/2/18,Hikari No Atelier,Mr. Children,4,8,2,6,,
2017/2/18,Excite,Daichi Miura,4,9,2,9,,
2017/2/18,Sayonara Bystander,YUKI,1,10,0,0,,
2017/2/11,Nagurigaki Beat,Kanjani 8,2,1,1,100,,
2017/2/11,Lightning,THE RAMPAGE from EXILE TRIBE,5,2,2,22,,
2017/2/11,Koi,Gen Hoshino,20,3,1,1,,
2017/2/11,Koe,Green Boys,2,4,4,8,,
2017/2/11,Dead End in Tokyo,Man With A Mission,3,5,5,96,,
2017/2/11,Hikari No Atelier,Mr. Children,3,6,2,3,,
2017/2/11,Yes! Party Time!!,(Game Music),1,7,0,0,,
2017/2/11,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,17,8,1,6,,
2017/2/11,Excite,Daichi Miura,3,9,2,2,,
2017/2/11,Magic,AAA,3,10,10,14,,
2017/2/4,Koi,Gen Hoshino,19,1,1,1,,
2017/2/4,Excite,Daichi Miura,2,2,2,49,,
2017/2/4,Hikari No Atelier,Mr. Children,2,3,2,2,,
2017/2/4,Zenzenzense,RADWIMPS,30,4,1,9,,
2017/2/4,Futari Saison,Keyakizaka46,11,5,1,12,,
2017/2/4,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,16,6,1,7,,
2017/2/4,Kiseki,Green Boys,3,7,7,43,,
2017/2/4,Koe,Green Boys,1,8,0,0,,
2017/2/4,Kiseki,GReeeeN,23,9,9,25,,
2017/2/4,Silent Majority,Keyakizaka46,45,10,1,8,,
2017/1/28,Koi,Gen Hoshino,18,1,1,1,,
2017/1/28,Hikari No Atelier,Mr. Children,1,2,0,0,,
2017/1/28,Monochro,Flower,3,3,3,0,,
2017/1/28,We Are,ONE OK ROCK,1,4,0,0,,
2017/1/28,Hikari,Hikaru Utada,1,5,0,0,,
2017/1/28,Sisso Pendulum,M!LK,1,6,0,0,,
2017/1/28,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,15,7,1,4,,
2017/1/28,Silent Majority,Keyakizaka46,44,8,1,6,,
2017/1/28,Zenzenzense,RADWIMPS,29,9,1,5,,
2017/1/28,Stay Tune,Suchmos,23,10,10,10,,
2017/1/21,Koi,Gen Hoshino,17,1,1,1,,
2017/1/21,Michishirube,Busaiku,1,2,0,0,,
2017/1/21,Personia,Kamen Joshi,1,3,0,0,,
2017/1/21,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,14,4,1,5,,
2017/1/21,Zenzenzense,RADWIMPS,28,5,1,3,,
2017/1/21,Silent Majority,Keyakizaka46,43,6,1,8,,
2017/1/21,Happy End,back number,12,7,4,7,,
2017/1/21,Futari Saison,Keyakizaka46,9,8,1,9,,
2017/1/21,Sayonara No Imi,Nogizaka46,12,9,1,10,,
2017/1/21,Stay Tune,Suchmos,22,10,10,30,,
2017/1/14,Koi,Gen Hoshino,16,1,1,1,,
2017/1/14,Boku Igai No Dareka,NMB48,3,2,2,0,,
2017/1/14,Zenzenzense,RADWIMPS,27,3,1,8,,
2017/1/14,Arigato,SMAP,13,4,4,15,,
2017/1/14,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,13,5,1,5,,
2017/1/14,Sekai Ni Hitotsu Dake No Hana,SMAP,52,6,2,18,,
2017/1/14,Happy End,back number,11,7,4,11,,
2017/1/14,Silent Majority,Keyakizaka46,42,8,1,20,,
2017/1/14,Futari Saison,Keyakizaka46,8,9,1,14,,
2017/1/14,Sayonara No Imi,Nogizaka46,11,10,1,22,,
2017/1/7,Koi,Gen Hoshino,15,1,1,1,,
2017/1/7,God`S S.T.A.R.,QUARTET NIGHT,1,2,0,0,,
2017/1/7,Winter Wonderland,SHINee,2,3,3,79,,
2017/1/7,Don't Be Afraid,L'arc En Ciel,2,4,4,0,,
2017/1/7,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,12,5,1,3,,
2017/1/7,Dodonko Don`T Worry,BOYS AND MEN Kenkyusei,1,6,0,0,,
2017/1/7,Answer,BUMP OF CHICKEN,4,7,7,0,,
2017/1/7,Zenzenzense,RADWIMPS,26,8,1,5,,
2017/1/7,Koi Kiramekeshon!!!,SUPER GiRLS,1,9,0,0,,
2017/1/7,Christmas Song,back number,24,10,1,13,,
2016/12/31,Koi,Gen Hoshino,14,1,1,1,,
2016/12/31,Give Me Love,Hey! Say! JUMP,1,2,0,0,,
2016/12/31,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,11,3,1,5,,
2016/12/31,Happy End,back number,9,4,4,9,,
2016/12/31,Zenzenzense,RADWIMPS,25,5,1,8,,
2016/12/31,Futari Saison,Keyakizaka46,6,6,1,4,,
2016/12/31,Fxxk It,BIGBANG,1,7,0,0,,
2016/12/31,Noroshi,Kanjani 8,3,8,2,2,,
2016/12/31,Last Dance,BIGBANG,1,9,0,0,,
2016/12/31,Sayonara No Imi,Nogizaka46,9,10,1,11,,
2016/12/24,Koi,Gen Hoshino,13,1,1,2,,
2016/12/24,Noroshi,Kanjani 8,2,2,2,37,,
2016/12/24,Coming Over,EXO,4,3,3,64,,
2016/12/24,Futari Saison,Keyakizaka46,5,4,1,1,,
2016/12/24,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,10,5,1,3,,
2016/12/24,Sekai Ni Hitotsu Dake No Hana,SMAP,49,6,2,9,,
2016/12/24,You Can't Hurry Love,Hi-STANDARD,1,7,0,0,,
2016/12/24,Zenzenzense,RADWIMPS,24,8,1,4,,
2016/12/24,Happy End,back number,8,9,4,7,,
2016/12/24,Nandemo Naiya,RADWIMPS,16,10,4,19,,
2016/12/17,Futari Saison,Keyakizaka46,4,1,1,26,,
2016/12/17,Koi,Gen Hoshino,12,2,1,1,,
2016/12/17,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,9,3,1,4,,
2016/12/17,Zenzenzense,RADWIMPS,23,4,1,6,,
2016/12/17,Go! Go! Let's Go!,E-Girls,2,5,5,0,,
2016/12/17,Kimi He No Tegami,Keisuke Kuwata,7,6,3,3,,
2016/12/17,Happy End,back number,7,7,4,7,,
2016/12/17,Sayonara No Imi,Nogizaka46,7,8,1,8,,
2016/12/17,Sekai Ni Hitotsu Dake No Hana,SMAP,48,9,2,19,,
2016/12/17,Welcome To Tokyo,Sandaime J Soul Brothers from EXILE TRIBE,10,10,2,13,,
2016/12/10,Koi,Gen Hoshino,11,1,1,2,,
2016/12/10,Sexy Cat No Enzetsu/Mukidashi De Mukiatte/Soujanai,Morning Musume.`16,1,2,0,0,,
2016/12/10,Kimi He No Tegami,Keisuke Kuwata,6,3,3,14,,
2016/12/10,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,8,4,1,5,,
2016/12/10,Jingle Bells Ga Tomaranai,Aqours,1,5,0,0,,
2016/12/10,Zenzenzense,RADWIMPS,22,6,1,9,,
2016/12/10,Happy End,back number,6,7,4,4,,
2016/12/10,Sayonara No Imi,Nogizaka46,6,8,1,6,,
2016/12/10,High Tension,AKB48,5,9,1,1,,
2016/12/10,Dear Diary,Namie Amuro,5,10,7,30,,
2016/12/3,High Tension,AKB48,4,1,1,57,,
2016/12/3,Koi,Gen Hoshino,10,2,1,3,,
2016/12/3,Pierrot,GENERATIONS from EXILE TRIBE,5,3,3,43,,
2016/12/3,Happy End,back number,5,4,4,73,,
2016/12/3,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,7,5,1,4,,
2016/12/3,Sayonara No Imi,Nogizaka46,5,6,1,1,,
2016/12/3,Welcome To Tokyo,Sandaime J Soul Brothers from EXILE TRIBE,8,7,2,2,,
2016/12/3,Akanesasu/Everlasting Snow,Aimer,1,8,0,0,,
2016/12/3,Zenzenzense,RADWIMPS,21,9,1,6,,
2016/12/3,Panic!,U-KISS,1,10,0,0,,
2016/11/26,Sayonara No Imi,Nogizaka46,4,1,1,7,,
2016/11/26,Welcome To Tokyo,Sandaime J Soul Brothers from EXILE TRIBE,7,2,2,9,,
2016/11/26,Koi,Gen Hoshino,9,3,1,2,,
2016/11/26,PPAP (Pen-Pineapple-Apple-Pen),PIKOTARO,6,4,1,1,,
2016/11/26,Omoi Yo Hitotsu Ni Nare,Aqours,1,5,0,0,,
2016/11/26,Zenzenzense,RADWIMPS,20,6,1,6,,
2016/11/26,Rage Of Dust,SPYAIR,4,7,7,38,,
2016/11/26,Sekai Ni Hitotsu Dake No Hana,SMAP,45,8,2,23,,
2016/11/26,LiAR,Pornograffitti,1,9,0,0,,
